,x,y,temp,preset
0,1.5,1.5,48.5,50
1,5.9,1.5,48.9,50
2,10.3,1.5,49.2,50
3,14.7,1.5,49.3,50
4,19.1,1.5,49.1,50
5,1.5,5.9,49.1,50
6,5.9,5.9,49.3,50
7,10.3,5.9,49.5,50
8,14.7,5.9,49.4,50
9,19.1,5.9,49.6,50
10,1.5,10.3,49.5,50
11,5.9,10.3,49.5,50
12,10.3,10.3,49.6,50
13,14.7,10.3,49.5,50
14,19.1,10.3,49.8,50
15,1.5,14.7,49.4,50
16,5.9,14.7,49.9,50
17,10.3,14.7,49.6,50
18,14.7,14.7,49.4,50
19,19.1,14.7,49.8,50
20,1.5,19.1,48.6,50
21,5.9,19.1,49.2,50
22,10.3,19.1,49.4,50
23,14.7,19.1,49.5,50
24,19.1,19.1,49.3,50
